entry_time,entry,sl,tp,lotes,capital_before,exit_time,exit_price,exit_reason,pnl,capital_after,bars_held
2025-02-06 13:00:00,6064.1,6050.664851909204,6082.013530787729,0.08,11084.635765558689,2025-02-06 21:00:00,6050.664851909204,sl,-107.88118472637,10976.75458083232,8.0
2025-02-10 13:00:00,6055.7,6039.859294994153,6076.820940007795,0.06,10976.75458083232,2025-02-10 21:00:00,6067.9,time_exit,72.89999999999891,11049.654580832319,8.0
2025-02-14 10:00:00,6114.6,6100.06109261105,6133.985209851933,0.07,11049.654580832319,2025-02-14 18:00:00,6117.6,time_exit,20.650000000000002,11070.304580832319,8.0
2025-03-26 09:00:00,5771.25,5758.196742347348,5788.654343536869,0.08,11070.304580832319,2025-03-26 16:00:00,5758.196742347348,sl,-104.82606122121652,10965.478519611102,7.0
2025-04-25 11:00:00,5503.4,5471.957974773262,5545.322700302317,0.03,10965.478519611102,2025-04-25 13:00:00,5471.957974773262,sl,-94.47607568021195,10871.00244393089,2.0
2025-04-29 11:00:00,5540.05,5516.082683868658,5572.006421508457,0.04,10871.00244393089,2025-04-29 13:00:00,5516.082683868658,sl,-96.06926452536864,10774.933179405522,2.0
2025-05-01 15:00:00,5615.0,5586.050327614386,5653.599563180819,0.03,10774.933179405522,2025-05-01 18:00:00,5653.599563180819,tp,115.64868954245739,10890.581868947978,3.0
2025-05-14 11:00:00,5885.3,5868.262249551407,5908.0170005981245,0.06,10890.581868947978,2025-05-14 19:00:00,5889.1,time_exit,22.50000000000109,10913.08186894798,8.0
2025-05-15 14:00:00,5865.1,5847.862866122714,5888.082845169715,0.06,10913.08186894798,2025-05-15 18:00:00,5888.082845169715,tp,137.59707101828934,11050.67893996627,4.0
2025-05-26 16:00:00,5870.8,5848.673524515072,5900.301967313238,0.04,11050.67893996627,2025-05-27 05:00:00,5856.15,time_exit,-58.800000000002186,10991.878939966267,8.0
2025-05-29 12:00:00,5971.15,5947.293606281894,6002.958524957473,0.04,10991.878939966267,2025-05-29 14:00:00,5947.293606281894,sl,-95.62557487242084,10896.253365093846,2.0
2025-06-04 15:00:00,5972.6,5957.912984806347,5992.182686924872,0.07,10896.253365093846,2025-06-04 23:00:00,5965.65,time_exit,-49.0000000000051,10847.25336509384,8.0
2025-06-24 15:00:00,6067.5,6044.108623145437,6098.68850247275,0.04,10847.25336509384,2025-06-24 22:00:00,6098.68850247275,tp,124.55400989099945,10971.807374984839,7.0
2025-06-25 13:00:00,6095.3,6082.240129681995,6112.713160424008,0.08,10971.807374984839,2025-06-25 20:00:00,6082.240129681995,sl,-104.87896254403896,10866.9284124408,7.0
2025-06-30 11:00:00,6195.3,6180.50317879818,6215.02909493576,0.07,10866.9284124408,2025-06-30 17:00:00,6180.50317879818,sl,-103.92774841274296,10763.000664028057,6.0
2025-07-04 12:00:00,6242.1,6229.8691461372855,6258.407805150287,0.08,10763.000664028057,2025-07-04 13:00:00,6229.8691461372855,sl,-98.24683090171894,10664.753833126339,1.0
2025-07-04 14:00:00,6238.1,6225.254263761231,6255.22764831836,0.08,10664.753833126339,2025-07-07 01:00:00,6255.22764831836,tp,136.62118654687364,10801.375019673213,6.0
2025-07-09 12:00:00,6235.9,6222.924342499318,6253.200876667574,0.08,10801.375019673213,2025-07-09 16:00:00,6253.200876667574,tp,138.0070133405985,10939.382033013811,4.0
2025-07-10 10:00:00,6248.9,6235.987511866606,6266.116650844524,0.08,10939.382033013811,2025-07-10 17:00:00,6266.116650844524,tp,137.3332067561947,11076.715239770007,7.0
2025-07-14 16:00:00,6247.9,6232.824530830767,6268.000625558976,0.07,11076.715239770007,2025-07-14 20:00:00,6268.000625558976,tp,140.35437891283473,11217.06961868284,4.0
2025-07-16 15:00:00,6257.1,6241.325008353401,6278.133322195466,0.07,11217.06961868284,2025-07-16 16:00:00,6241.325008353401,sl,-110.77494152619384,11106.294677156648,1.0
2025-07-18 10:00:00,6306.5,6295.059970274722,6321.753372967038,0.09,11106.294677156648,2025-07-18 17:00:00,6295.059970274722,sl,-103.41026752750003,11002.884409629147,7.0
2025-07-24 10:00:00,6360.7,6349.435585453048,6375.719219395936,0.09,11002.884409629147,2025-07-24 17:00:00,6375.719219395936,tp,134.7229745634284,11137.607384192575,7.0
